keywords,context,text
run#team#field#drill,The,The field was run by a drill team from the University of Wisconsin–Madison and the United States.
take#goal#player#shot,The,The goal was to take a shot from the top of the box with no player in the box.
catch#frisbee#dog#throw,The,The dog is caught by frisbee and thrown to the ground by the dog’s.
food#table#sit#front,The,The food sits in front of a wooden table that has a lot of toppings on it.
guitar#sit#front#microphone,The,"The man is sitting in front of a TV, playing a guitar with a microphone on it nearby."
use#tool#piece#metal,The,The piece was used as a tool to build a metal sculpture of the Virgin Mary in the town.
sidewalk#walk#leash#dog,The,The dog is walking down the sidewalk with a leash on it and no other dogs on the sidewalk.
stage#perform#routine#music,The,"The music is usually performed in a routine, with the conductor at the end of the main stage."
demonstrate#sew#machine#use,The,The machines are used to demonstrate how to sew and how to use a sewing machine to do sewing.
food#pan#cook#stove,The,The man is cooking food on the stove and is panning the vegetables on the floor of the stove.
field#jersey#player#wear,The,The player must wear a jersey of the same colour as the field of play to be eligible for.
refrigerator#open#close#door,The,"The door opened and the refrigerator was closed, but the refrigeratorator was open and it was empty."
mower#push#lawn#mow,The,The mow is pushed down the lawn by a mower with a mowing wheel on it.
roast#fire#stick#marshmallow,The,"The fire is on the roof of the marshmallow stick, which is on top of the roof."
sit#couple#dinner#table,The,The couple sat on the table for a while before they got up to go to dinner with their children.
put#lipstick#talk#lip,The,"The lip is put in the lip, and then the lip is talks with the lip lip lip."
water#car#drive#road,The,The car is driving down the road with the water lily in the middle of the rear bumper.
background#music#tree#decorate,The,"The trees are decorated with red, white, and blue background music, and the video ends with."
hang#donut#string#eat,The,The donut is hanging on a string and it is eating the donut off of the plate.
wood#bike#trail#ride,The,"The trail follows the crest of a wooded hill, and the bike is riding on the trail."
board#water#boat#ride,The,"The boat is on the water, but the board is not, and it is riding a boat."
chair#sit#food#eat,The,The man is sitting on a chair and eating food with his wife and child in the living room.
music#dance#audience#front,The,"The music was re-recorded in front of a live audience, which also danced to the music."
score#win#goal#game,The,"The game won the tournament, and scored a goal in the final to win the game 3–2."
stand#practice#hit#ball,The,The practice of stand-up comedy was popularized in the ballads and hit songs of 1950.
kitchen#watermelon#knife#cut,The,"The kitchen has a watermelon, cut up into small pieces with a knife and dip in water."
bottle#separate#white#yolk,The,"The bottle is separated into two yolk and white bottles, one of which is now in storage."
throw#run#javelin#track,The,"The final track, ""Jvelin"", is about a man who runs away and throws himself."
walk#street#talk#cellphone,The,The man is walking down the street talking to a man who is walking with a cellphone in his hand.
dance#music#light#flash,The,"The music video for ""Dance with the Flash"" was released on June 6, 2020 light."
neck#guitar#move#hand,The,"The man then moved his hand to the guitar, then back to his neck and started to play."
